iter	Passed	Remaining
0	0	989
1	1	903
2	2	881
3	3	868
4	4	853
5	5	837
6	5	827
7	6	833
8	7	829
9	8	824
10	9	817
11	10	824
12	10	827
13	12	874
14	13	868
15	13	860
16	14	854
17	15	848
18	16	842
19	17	838
20	17	837
21	18	834
22	19	831
23	20	830
24	21	828
25	22	826
26	22	825
27	23	821
28	24	818
29	25	820
30	26	829
31	27	829
32	28	827
33	29	826
34	29	823
35	30	821
36	31	819
37	32	817
38	33	814
39	33	811
40	34	813
41	35	811
42	36	809
43	37	807
44	37	805
45	38	804
46	39	802
47	40	801
48	41	803
49	42	802
50	43	800
51	43	799
52	44	797
53	45	795
54	46	793
55	46	791
56	47	789
57	48	789
58	49	788
59	50	787
60	51	785
61	51	783
62	52	781
63	53	780
64	54	779
65	55	778
66	56	780
67	56	779
68	57	778
69	58	777
70	59	775
71	60	773
72	60	771
73	61	768
74	62	766
75	62	765
76	63	763
77	64	761
78	65	759
79	65	757
80	66	755
81	67	753
82	67	747
83	68	745
84	69	743
85	69	742
86	70	741
87	71	740
88	72	738
89	72	737
90	73	737
91	74	738
92	75	736
93	76	735
94	76	733
95	77	731
96	78	729
97	79	727
98	79	725
99	80	723
100	81	722
101	81	720
102	82	718
103	84	729
104	85	732
105	86	731
106	87	729
107	88	728
108	88	727
109	89	725
110	90	723
111	91	722
112	91	720
113	92	718
114	93	721
115	94	721
116	95	722
117	96	722
118	97	721
119	98	721
120	99	722
121	100	720
122	100	719
123	101	717
124	102	716
125	103	714
126	103	712
127	104	710
128	105	710
129	105	709
130	106	707
131	107	706
132	108	705
133	109	704
134	109	703
135	110	701
136	111	701
137	112	700
138	112	698
139	113	698
140	114	697
141	115	695
142	115	694
143	116	693
144	117	692
145	118	691
146	118	689
147	119	688
148	120	687
149	121	686
150	121	684
151	122	683
152	123	682
153	124	682
154	125	682
155	125	681
156	126	680
157	127	678
158	128	677
159	128	676
160	129	673
161	130	672
162	130	671
163	131	670
164	132	669
165	132	667
166	133	666
167	134	665
168	135	664
169	135	662
170	136	661
171	137	660
172	137	659
173	138	659
174	139	658
175	140	657
176	141	656
177	141	655
178	142	654
179	143	653
180	144	652
181	144	651
182	145	650
183	146	649
184	147	648
185	147	647
186	148	647
187	149	647
188	150	646
189	151	645
190	152	644
191	153	643
192	153	642
193	154	641
194	155	641
195	156	640
196	156	639
197	157	637
198	158	636
199	158	635
200	159	634
201	160	633
202	161	632
203	161	631
204	162	630
205	163	629
206	164	628
207	164	627
208	165	627
209	166	626
210	167	625
211	168	624
212	168	623
213	169	622
214	170	621
215	171	620
216	171	620
217	172	618
218	173	617
219	173	616
220	174	615
221	175	614
222	176	613
223	176	612
224	177	611
225	178	610
226	178	609
227	179	608
228	180	607
229	181	606
230	181	605
231	182	604
232	183	603
233	184	602
234	184	601
235	185	600
236	186	600
237	187	599
238	188	598
239	188	597
240	189	596
241	190	595
242	190	594
243	191	593
244	192	592
245	193	592
246	193	591
247	194	590
248	195	589
249	196	588
250	196	587
251	197	586
252	198	585
253	199	585
254	200	584
255	200	583
256	201	582
257	202	581
258	202	580
259	203	579
260	204	579
261	205	578
262	206	578
263	207	577
264	207	576
265	208	575
266	209	574
267	210	573
268	210	572
269	211	571
270	212	571
271	213	570
272	214	570
273	214	569
274	215	568
275	216	567
276	217	566
277	217	565
278	218	565
279	219	564
280	220	563
281	220	562
282	221	561
283	222	560
284	223	559
285	223	558
286	224	557
287	225	556
288	226	556
289	226	555
290	227	554
291	228	553
292	229	553
293	230	553
294	231	552
295	231	551
296	232	550
297	233	549
298	234	548
299	234	547
300	235	547
301	236	546
302	237	545
303	237	544
304	238	543
305	239	542
306	239	541
307	240	540
308	241	540
309	242	539
310	243	538
311	243	537
312	244	536
313	245	535
314	246	535
315	246	534
316	247	533
317	248	532
318	249	531
319	249	530
320	250	530
321	251	529
322	252	528
323	252	527
324	253	526
325	254	525
326	255	524
327	255	524
328	256	523
329	257	522
